starttime	seconds	ctime	dtime	ttime	wait
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	0	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	1	0	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	1	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	1	1	1	0
Mon Feb 10 17:20:56 2025	1739197256	0	1	1	1
